mẹ cô ấy	cô ấy mẹ
lại muốn vòi tiền nữa chứ gì	muốn tiền chứ gì
anh phê_bình hay mạt_sát tôi đấy	anh tôi phê_bình mạt_sát
con hay con mèo đánh vỡ bình hoa	con hay con mèo bình hoa vỡ
cậu thích chó hơn hay mèo hơn	cậu chó mèo thích hơn
Nam tặng em bé kẹo hay nước_hoa	kẹo hay nước_hoa bé Nam tặng
mình đi xe_lửa hay máy_bay	xe_lửa hay máy_bay mình đi
cuộc họp hoãn lại một tuần hay nửa tháng	họp hoãn một tuần hay nửa tháng
ông có diêm không	ông diêm có
con muốn ăn đòn phải không	con đòn muốn
mày có câm cái mồm đi không	mày mồm câm
ông cho tôi xin tí lửa	ông lửa tôi xin
con hãy ngừng ngay cái việc đáng đánh_đòn ấy	ngừng ngay việc đáng đánh_đòn
mày câm cái mồm đi	mày mồm câm
bỏ xuống đây	bỏ xuống đây
ăn gì to_lớn đẫy_đà làm_sao	ăn gì to_lớn đẫy_đà làm_sao
thế_thì có khổ cho tôi không	thế_thì tôi khổ
người đâu mà vô_tâm	người đâu mà vô_tâm
tổ_quốc có bao_giờ đẹp thế_này chăng	tổ_quốc có bao_giờ đẹp thế_này chăng
nhằm thẳng quân_thù , bắn	nhằm quân_thù bắn
ngủ đi	
mây ơi , hãy ngừng trôi	mây trôi hãy ngừng
lá ơi , đừng rụng nữa	lá ơi rụng đừng
đừng xanh như lá , bạc như vôi	xanh như lá bạc như vôi đừng
hãy tươi mãi màu xanh_tươi ánh thép	màu xanh_tươi tươi mãi ánh thép hãy
xin các bạn giữ trật_tự	xin bạn trật_tự
các bạn giữ trật_tự	bạn trật_tự
các bạn có giữ trật_tự không nào	bạn trật_tự không
anh_ta có tài mà chẳng có đức	anh_ta tài có đức chẳng có
việc này khó lắm đấy	việc này khó lắm đấy
em ơi , buồn làm_chi	em buồn làm_chi
thế có khổ không	thế khổ có
những ngày tôi đang sống đáng sống bao_nhiêu	những ngày tôi sống đáng sống bao_nhiêu
đẹp quá nhỉ	đẹp quá
cuốn truyện này rất hay	cuốn truyện này hay
cuốn truyện này không hay	cuốn truyện này hay không
cuốn truyện này không hay lắm	cuốn truyện này hay không
thanh này không dài bằng thanh kia	thanh này thanh kia không dài bằng
thanh này ngắn hơn thanh kia	thanh này thanh kia ngắn hơn
rẻ thì_có rẻ , nhưng không đẹp	rẻ thì_có rẻ nhưng đẹp không
nó có giận anh thật , nhưng không ghét anh đâu	anh nó giận có nhưng ghét không
cháu đã làm bài thi toán	cháu bài thi toán làm đã
bài thi toán cháu được nửa điểm	bài thi toán cháu nửa điểm
vì_thế là nhiều đối_với cháu	vì_thế đối_với cháu nhiều
cháu kén quá đấy	cháu kén quá
còn bạc còn tiền còn đệ_tử	bạc còn tiền còn đệ_tử còn
Nam trêu em bé	bé Nam trêu
em bé khóc	bé khóc
gió đánh cành tre	cành tre gió đánh
gió thổi , mây bay	thổi gió bay mây
công_việc đang bộn_bề	công_việc bộn_bề
mọi lí_thuyết đều xám	lí_thuyết mọi xám đều
Nam là học_sinh giỏi	Nam học_sinh giỏi
đáng tiếc thật	thật tiếc
đèn đêm đã bật , sân_bay lại bắt_đầu làm_việc	đèn đêm bật sân_bay bắt_đầu làm_việc
vào đâu tre cũng sống , ở đâu tre cũng xanh tốt	vào đâu tre sống đâu tre xanh tốt
nước reo quanh chân lúa , lúa rung lên , lòng người cũng rung lên	nước quanh chân lúa reo lúa rung lòng người rung
ngoài đình , trống lại thúc , mõ lại khua , tù_và rúc liên_thanh bất chỉ	ngoài đình trống thúc mõ khua tù_và liên_thanh rúc
cằm ông bạnh ra , mắt ông trợn_trừng , cả người ông như một pho tượng bằng đồng_đen cuồn_cuộn những bắp_thịt	cằm ông bạnh ra mắt trợn_trừng cả người pho tượng bằng đồng_đen cuồn_cuộn bắp_thịt
những chiếc ô_tô chạy đi , chạy lại như những con_thoi , máy_bay_phản_lực rít ào_ào và len_lỏi giữa tất_cả những ô_tô , máy_bay ấy có một chiếc xe_đạp ba bánh	ô_tô chạy đi chạy như con_thoi máy_bay_phản_lực rít và len_lỏi máy_bay chiếc xe_đạp ba bánh có
cái Tý hai hàng nước_mắt ròng_ròng , hôn_hít các em một lượt , rồi lủi_thủi , nó đội mê nón trên đầu và cắp gói áo vào nách	Tý nước_mắt ròng_ròng em hôn_hít nón đội mê trên đầu gói áo vào nách cắp
nước ta là một , dân_tộc ta là một	nước một dân_tộc một
nhân_dân như nước , bộ_đội như cá	nhân_dân nước bộ_đội cá
mọi người đi rồi chỉ còn thằng bé Tun ở nhà	người đi chỉ còn thằng bé Tun nhà ở
hoa bưởi thơm rồi : đêm đã khuya	hoa bưởi thơm đêm khuya
Lương bật đèn_pin nhìn đồng_hồ tay : hai giơ rưỡi sáng	Lương đèn_pin bật đồng_hồ tay nhìn giờ hai rưỡi sáng
bên vệ đường có hai cha_con làm_ruộng : cha đánh cày , con đập đất	vệ đường cha_con làm_ruộng hai cha cày đánh con đất đập
may_vá có khó thì mới_phải học	may_vá khó thì mới_phải học
mình em nấy nướng thì không kịp	em ấy nướng không kịp
chưa nói đã cười là người vô_duyên	nói chưa cười đã người vô_duyên
Cao_Bằng gạo_trắng_nước_trong	Cao_Bằng gạo_trắng_nước_trong
ngọn đèn khi tỏ khi mờ	đèn khi tỏ khi mờ
món này ăn thì ngon làm thì tốn công	món này ngon ăn tốn công làm
ở đây trước lạ sau quen	ở đây lạ trước quen sau
lúc này gạo_châu_củi_quế	lúc này gạo_châu_củi_quế
làm cho thì thân_tàn_ma_dại	
ai về ai ở mặc ai	về ai ở ai mặc ai
trên thuận dưới hòa là hay nhất	trên thuận dưới hòa
trong đánh ra ngoài đánh vào thì nhất_định thắng	đánh trong ra ngoài đánh vào thì thắng nhất_định
ăn_có_nhai_nói_có_nghĩ thì mới là người khôn	ăn_có_nhai_nói_có_nghĩ là người khôn
khôn sống mống chết là một thực_tế xã_hội	khôn sống mống chết là xã_hội thực_tế
con_trâu đi trước cái cày theo sau thì còn lạc_hậu	con_trâu đi trước cày sau thì lạc_hậu còn
	
	
lỗi này tại ai thì tôi không biết	lỗi này tại ai tôi không biết
quan biết thì nó chết	quan biết nó chết
mai đã đi thì tôi chuẩn_bị không kịp	mai đi tôi chuẩn_bị không kịp
sen xa hồ sen khô hồ cạn	hồ sen xa hồ cạn
liễu xa đào liễu ngả đào nghiêng	liễu đào xa liễu ngả đào nghiêng
sớm mưa trưa nắng là anh yêu mình	mưa sớm nắng trưa là anh mình yêu
sông_cạn_đá_mòn anh vẫn thủy_chung	sông_cạn_đá_mòn anh thủy_chung vẫn
ai đi ai về nó cũng chẳng để_ý	đi ai về ai nó chẳng để_ý
sáng vác tối vác thì ai mà chả chán	vác sáng vác tối chán
đau quá	
đang bận lút đầu lút cổ	
đi đâu_đấy	đi đâu_đấy
khỏe chứ	
có đau không	đau có
cấm hút thuốc_lá	thuốc_lá hút cấm
không chạy xe trong sân	trong sân chạy xe không
coi_chừng mất xe	xe mất coi_chừng
phải tôn_trọng và giúp_đỡ người già_cả và phụ_nữ có_thai	tôn_trọng giúp_đỡ người già_cả phụ_nữ có_thai phải
cần ăn để mà sống chứ không phải sống để mà ăn	ăn sống cần chứ sống ăn không phải
ngồi xuống	
mời ngồi xuống	mời ngồi
quý_vị ngồi xuống đi	quý_vị ngồi
tôi mời quý_vị an_tọa	quý_vị an_tọa mời
cám_ơn các bạn	cám_ơn các bạn
cám_ơn các bác	cám_ơn các bác
khuya rồi	khuya rồi
nóng quá , sắp mưa rồi	nóng quá mưa sắp
như tranh_thủy_mặc ấy , đẹp quá	như tranh_thủy_mặc đẹp
nhiều bướm quá , có con đẹp quá kìa	bướm nhiều có con đẹp quá
tệ đến thế kia à	tệ thế
ở đây lúc này , trời nóng quá	ở đây lúc này nóng quá
ở đây lúc này , trời sắp mưa	ở đây lúc này mưa sắp
số tác_giả này nhận_định khác hẳn	tác_giả này nhận_định khác hẳn
đã bảo mà	bảo đã
	
một cái tát rất kêu	một tát rất kêu
tiếng đấm , tiếng đá nhau bình_bịch	đấm đá tiếng bình_bịch
họ đã bảo mà	họ bảo đã
phen này thì_phải biết	phen này thì_phải biết
lúc ấy có_thể nghe thấy một cái tác rất kêu	lúc ấy tát nghe
lúc ấy có_thể nghe thấy tiếng đấm_đá nhau bình_bịch	lúc ấy có_thể đấm_đá nghe bình_bịch
đấm_đá như_thế cứ gọi_là tan xương	đấm_đá như_thế tan xương
đại_bác ùng_oàng suốt đêm	đại_bác ùng_oàng suốt đêm
tiếng ùng_oàng của đại_bác nghe thưa dần	tiếng đại_bác ùng_oàng nghe thưa dần
có_tiếng đại_bác nổ ùng_oàng từ xa	xa có_tiếng đại_bác ùng_oàng
điều ấy tôi biết rồi	điều ấy tôi biết rồi
điều anh vừa nói ấy tôi biết rồi	điều anh vừa nói tôi biết
tôi đã xem trận ấy	tôi trận ấy đã xem
tôi đã xem đội ta đấu với đội bạn	tôi xem đội ta đội bạn đấu
vì lợi_ích chung ông_ta đã xin từ_chức	vì lợi_ích chung ông_ta từ_chức xin
Cụ Tú đã bạc hết cả tóc rồi	Cụ Tú tóc bạc hết
Cụ Tú tóc bạc hết cả rồi	Cụ Tú tóc bạc hết
ôi , cảnh ly_biệt mà_sao buồn vậy	ly_biệt mà_sao buồn
anh Đức này , anh lấy tôi làm vợ nhé	anh Đức anh tôi lấy làm vợ
ông Chưởng , phó của cha tôi , nay đã lên tướng	ông Chưởng phó cha tôi nay lên tướng
anh có biết ông ấy không , ông Văn ấy mà	anh ông ấy biết Văn
không ai nói_gì , mọi người lảng dần ra	ai nói_gì không mọi người lảng dần
không ai nói_gì , rồi mọi người lảng dần ra	ai nói_gì không mọi người lảng dần
không ai nói_gì nhưng mọi người lảng dần ra	ai nói_gì không nhưng mọi người lảng dần
không ai nói_gì nên mọi người lảng dần ra	ai nói_gì không nên mọi người lảng dần
tuy không ai nói_gì nhưng mọi người lãng dần ra	tuy ai nói_gì không nhưng mọi người lãng dần
vì không ai nói_gì nên mọi người lãng dần	vì ai nói_gì không nên mọi người lãng dần
đã bấy_lâu_nay bác tới nhà	đã bấy_lâu_nay bác tới nhà
trẻ thời đi vắng , chợ thời xa	trẻ thời đi vắng chợ thời xa
ao sâu nước cả , khôn chài cá	ao nước sâu khôn chài cá
vườn rộng rào thưa , khó duổi gà	vườn rộng rào thưa gà khó duổi
cải chửa ra cây , cà mới nụ	cải cây chửa ra cà nụ mới
bầu vừa rụng rốn , mướp ra hoa	bầu rốn rụng mướp hoa ra
đầu_trò tiếp khách trầu_không có	đầu_trò khách tiếp trầu_không có
bác đến chơi đây , ta với ta	bác đến chơi đây ta với ta
tôi cũng không biết	tôi không biết cũng
sao anh lại nói thế	anh nói sao
chuyện này nghiêm_trọng đây	chuyện này nghiêm_trọng
nhưng ai biết mà sợ	biết ai mà sợ
sau đây là vài điểm cần nói rõ thêm	sau đây vài điểm nói rõ cần
tôi không dính vào việc này	tôi dính không vào
anh cũng đừng nghi_ngờ gì anh_ấy	anh nghi_ngờ đừng anh_ấy
đừng ra sân , ngoài ấy rét lắm	sân ra đừng ngoài ấy rét
bà ấy đánh con chó dữ quá , làm như_thế không có tác_dụng giáo_dục	bà ấy chó đánh quá như_thế tác_dụng không có
tôi không muốn đi , vả_lại đã muộn rồi	tôi đi không muốn vả_lại muộn rồi
	
cám_ơn bác	
cháu cám_ơn bác	
cháu cám_ơn bác ạ	
cuốn Chí_Phèo ở dưới chồng tạp_chí	cuốn Chí_Phèo ở dưới tạp_chí
dưới chồng tạp_chí có cuốn Chí_Phèo	dưới tạp_chí có cuốn Chí_Phèo
chồng tạp_chí ở trên cuốn Chí_Phèo	tạp_chí trên cuốn Chí_Phèo
cái xe màu đỏ ấy mới là xe của tôi	xe màu đỏ là xe của tôi
xe của tôi là cái màu đỏ ấy	xe của tôi màu đỏ
ăn nhiều quá thì mới sinh_bệnh chứ	ăn nhiều sinh_bệnh
sinh_bệnh đâu phải tại ăn , mà tại ăn nhiều quá đấy chứ	sinh_bệnh đâu phải tại ăn nhiều
ai chứ nó thì không tin được	nó không tin
gà của ông Tư chết mất hai con	ông Tư gà hai chết
anh_ấy đã giết ông Ba	anh_ấy ông Ba giết
anh_ấy đã lấy tiền ông Ba	ông Ba anh_ấy lấy tiền
tôi không tiêu tiền_của ông Ba	tôi ông Ba tiêu tiền_của không
nó phải giải nhiều bài	nó nhiều bài phải giải
nó giải được năm bài , thì ba bài đúng	nó bài năm ba đúng
còn hai bài kia thì sai	còn hai sai
